"","scientificName","sample.outlier.mass","sample.mass","sample.outlier.total.length","sample.total.length"
"51","Bolomys lasiurus",2,8,10,0
"52","Callorhinus ursinus",4,12,16,0
"53","Calomys boliviae",0,13,0,13
"54","Calomys callosus",10,95,28,77
"55","Calomys laucha",1,9,10,0
"56","Calomys musculinus",0,13,1,12
"57","Canis familiaris",45,0,45,0
"58","Canis latrans",67,170,21,216
"59","Canis lupus",391,3,230,164
"60","Cardioderma cor",56,0,0,56
"61","Carollia brevicauda",9,59,7,61
"62","Carollia castanea",0,21,1,20
"63","Carollia sowelii",27,0,14,13
"64","Carollia subrufa",3,11,0,14
"65","Castor canadensis",38,23,8,53
"66","Catagonus wagneri",19,0,19,0
"67","Centurio senex",16,0,3,13
"68","Chaerephon jobensis",13,0,2,11
"69","Chaerephon pumila",23,0,15,8
"70","Chaerephon pumilus",189,8,0,197
"71","Chaetodipus baileyi",61,3,1,63
"72","Chaetodipus californicus",78,5,1,82
"73","Chaetodipus fallax",72,0,2,70
"74","Chaetodipus formosus",115,14,4,125
"75","Chaetodipus intermedius",17,7,1,23
"76","Chaetodipus nelsoni",15,2,0,17
"77","Chaetodipus penicillatus",81,2,6,77
"78","Chalinolobus gouldii",13,0,0,13
"79","Chalinolobus nigrogriseus",17,0,0,17
"80","Chiroderma salvini",0,20,4,16
"81","Chiroderma villosum",6,18,9,15
"82","Chrysochloris asiatica",12,0,12,0
"83","Clethrionomys gapperi",216,241,4,453
"84","Clethrionomys rutilus",74,3,0,77
"85","Coleura afra",10,0,10,0
"86","Condylura cristata",16,18,3,31
"87","Corynorhinus rafinesquii",10,0,10,0
"88","Corynorhinus townsendii",69,20,16,73
"89","Cratogeomys castanops",41,13,2,52
"90","Crocidura batakorum",12,0,12,0
"91","Crocidura beatus",53,0,53,0
"92","Crocidura grayi",41,0,41,0
"93","Crocidura negrina",12,0,12,0
"94","Cryptotis magnus",19,0,19,0
"95","Cryptotis mexicanus",11,0,11,0
"96","Cryptotis nigrescens",87,0,0,87
"97","Cryptotis parva",71,59,5,125
"98","Cryptotis parvus",90,0,90,0
"99","Ctenodactylus gundi",21,0,0,21
"100","Ctenomys opimus",2,9,11,0
"101","Cuniculus paca",13,0,0,13
"102","Cynomys gunnisoni",60,2,1,61
"103","Cynomys leucurus",25,0,1,24
"104","Cynomys ludovicianus",34,26,0,60
"105","Cynopterus brachyotis",9,292,4,297
"106","Dasypus novemcinctus",14,0,0,14
"107","Delphinus capensis",1,155,156,0
"108","Delphinus delphis",2,146,148,0
"109","Desmodus rotundus",61,90,23,128
"110","Dicrostonyx groenlandicus",17,342,90,269
"111","Dicrostonyx hudsonius",14,0,4,10
"112","Dicrostonyx torquatus",8,5,13,0
"113","Didelphis marsupialis",17,8,4,21
"114","Didelphis virginiana",53,43,5,91
"115","Dipodomys agilis",647,2,14,635
"116","Dipodomys californicus",8,14,1,21
"117","Dipodomys deserti",38,6,3,41
"118","Dipodomys heermanni",167,5,6,166
"119","Dipodomys ingens",28,5,2,31
"120","Dipodomys merriami",714,95,16,793
"121","Dipodomys microps",64,28,1,91
"122","Dipodomys nitratoides",28,0,1,27
"123","Dipodomys ordii",373,187,15,545
"124","Dipodomys panamintinus",352,0,8,344
"125","Dipodomys stephensi",213,0,5,208
"126","Dipodomys venustus",41,0,0,41
"127","Dobsonia moluccensis",2,11,0,13
"128","Dromiciops gliroides",0,18,6,12
"129","Eidolon helvum",10,0,10,0
"130","Elephantulus intufi",12,0,1,11
"131","Elephantulus rufescens",46,0,1,45
"132","Eligmodontia puerulus",1,10,11,0
"133","Eligmodontia typus",1,10,0,11
"134","Emballonura alecto",14,0,14,0
"135","Enhydra lutris",421,14,49,386
"136","Eonycteris robusta",24,0,24,0
"137","Epomophorus wahlbergi",19,3,8,14
"138","Eptesicus furinalis",6,6,5,7
"139","Eptesicus fuscus",146,354,112,388
"140","Eptesicus gobiensis",1,11,0,12
"141","Erethizon dorsatum",20,25,7,38
"142","Erignathus barbatus",40,81,121,0
"143","Eumetopias jubatus",28,0,28,0
"144","Geomys attwateri",12,0,12,0
"145","Geomys breviceps",33,11,0,44
"146","Geomys bursarius",206,165,1,370
"147","Geomys lutescens",2,48,1,49
"148","Geomys pinetis",73,29,3,99
"149","Gerbilliscus (Taterona)",37,0,1,36
"150","Glaucomys sabrinus",57,527,7,577
"151","Glaucomys volans",25,25,7,43
"152","Glossophaga commissarisi",33,29,1,61
"153","Glossophaga glossophaga",12,0,3,9
"154","Glossophaga leachii",12,0,1,11
"155","Glossophaga soricina",32,122,7,147
"156","Grampus griseus",0,14,14,0
"157","Graomys domorum",0,26,0,26
"158","Graomys griseoflavus",4,43,2,45
"159","Gulo gulo",143,3,146,0
"160","Habromys lophurus",41,4,1,44
"161","Handleyomys melanotis",0,14,0,14
"162","Haplonycteris fischeri",118,0,118,0
"163","Harpyionycteris whiteheadi",24,0,24,0
"164","Heteromys (Heteromys)",21,0,0,21
"165","Heteromys anomalus",2,14,1,15
"166","Heteromys catopterius",0,17,0,17
"167","Heteromys desmarestianus",8,78,1,85
"168","Heteromys heteromys",13,0,0,13
"169","Hipposideros ater",36,0,23,13
"170","Hipposideros caffer",32,0,14,18
"171","Hipposideros cervinus",12,0,1,11
"172","Hipposideros diadema",150,0,121,29
"173","Hipposideros obscurus",13,0,13,0
"174","Hipposideros pygmaeus",12,0,12,0
"175","Histriophoca fasciata",0,144,144,0
"176","Hsunycteris thomasi",15,0,15,0
"177","Ictidomys tridecemlineatus",36,49,1,84
"178","Lagenorhynchus obliquidens",1,18,19,0
"179","Lasionycteris noctivagans",43,118,25,136
"180","Lasiurus (Lasiurus)",55,0,6,49
"181","Lasiurus borealis",65,42,53,54
"182","Lasiurus cinereus",29,53,21,61
"183","Lasiurus ega",10,0,5,5
"184","Lasiurus intermedius",9,10,7,12
"185","Lasiurus seminolus",20,2,19,3
"186","Lemmiscus curtatus",18,20,1,37
"187","Lemmus sibiricus",37,31,15,53
"188","Lemmus trimucronatus",57,406,114,349
"189","Lemniscomys striatus",11,9,0,20
"190","Leptonycteris curasoae",10,0,1,9
"191","Leptonycteris nivalis",1,27,0,28
"192","Leptonycteris yerbabuenae",2,13,0,15
"193","Lepus americanus",172,492,48,616
"194","Lepus californicus",80,13,5,88
"195","Lepus othus",10,86,9,87
"196","Lepus townsendii",62,34,4,92
"197","Liomys irroratus",11,12,0,23
"198","Liomys pictus",58,91,3,146
"199","Liomys salvini",32,0,2,30
"200","Lissodelphis borealis",0,16,16,0
"201","Lontra canadensis",12,46,6,52
"202","Loxodonta africana",119,0,119,0
"203","Loxodontomys micropus",19,0,0,19
"204","Lutra canadensis",12,39,6,45
"205","Lynx canadensis",4,10,8,6
"206","Lynx rufus",83,0,9,74
"207","Macroglossus minimus",99,0,99,0
"208","Macrotus californicus",11,15,1,25
"209","Macrotus waterhousii",5,12,1,16
"210","Marmosa mexicana",9,4,0,13
"211","Marmosa robinsoni",5,50,0,55
"212","Marmosops bishopi",1,9,1,9
"213","Marmosops noctivagus",13,23,5,31
"214","Marmota caligata",11,26,0,37
"215","Marmota flaviventris",231,0,2,229
"216","Marmota monax",46,62,9,99
"217","Martes americana",917,413,4,1326
"218","Martes caurina",0,67,0,67
"219","Martes pennanti",55,0,2,53
"220","Mastomys natalensis",101,0,15,86
"221","Maxomys panglima",22,0,22,0
