"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"121","Lepus othus",85,3.4,2263207.81376226,163372.722534448,57620.3783232384,4837.35,2.75137680709241
"122","Lepus townsendii",38,2.59,2108895.71595688,781932.272292753,120600.649417038,3371.64,6.45569187277327
"123","Liomys irroratus",12,26.2,86,46.8166666666667,4.77169421239099,48.95,0.447080897974048
"124","Liomys pictus",92,20.8,75.1,42.0467391304348,1.04102361865548,43.28,1.18466175739415
"125","Liomys salvini",25,21,56,36.328,1.83725810199148,41.99,3.08176624387326
"126","Lissodelphis borealis",16,37000,90000,64167.46875,4412.81911624832,113000,11.0660622979526
"127","Lontra canadensis",43,3.8,4320666.16378401,707467.368216304,214948.978151496,8087.42,3.25370213076045
"128","Loxodonta africana",117,297824,970298214.252505,10615263.0876282,8273589.65147978,3824539.93,0.820771085306809
"129","Lynx canadensis",11,34,6378124.51380576,2773751.07393382,807175.500269654,9682.82,3.42437084997058
"130","Lynx rufus",62,6.14,5863759.92630032,617658.19749988,188028.558358269,6374.47,3.25101533956955
"131","Macroglossus minimus",98,10,40,15.5948979591837,0.326238346874081,16.3,2.16130950751929
"132","Macrotus californicus",17,8,52,16.5764705882353,3.16987809901734,11.83,1.49736691442699
"133","Macrotus waterhousii",16,10,25,15.559375,0.93082869384848,16.27,0.763432632337477
"134","Marmosa mexicana",12,17,122,50.2916666666667,8.65160221921905,49.06,0.142362840484111
"135","Marmosa robinsoni",50,13,95,50,2.83044670881269,60.57,3.73439286706581
"136","Marmosops noctivagus",30,17,76,40.6333333333333,2.61647447862921,39.77,0.329960540561296
"137","Marmota caligata",23,2.5,1851713.42220416,82743.2466175721,80409.0767794482,2253.71,1.00100063128874
"138","Marmota flaviventris",116,1.35,1903150.78813929,82741.8974220338,32339.1802585157,3709.73,2.44385190936381
"139","Marmota monax",52,1.9,1851713.42220416,197576.630062911,64943.5158229594,3880.93,2.98252562412757
"140","Martes americana",419,6.24,442352.275196258,1916.28193360699,1056.24787250094,873.69,0.987071274414393
"141","Martes pennanti",21,3.4,1337348.83469872,266940.293172023,108024.764990659,3750,2.43638848179658
"142","Mastomys natalensis",27,11,120,64.1074074074074,7.31478798365017,41.85,3.04279597127854
"143","Maxomys panglima",22,129,248,182.363636363636,6.90082668193718,158.96,3.39142503388689
"144","Megaerops wetmorei",15,12,30,16.7333333333333,1.08766533134778,18.7,1.80815422721038
"145","Mephitis mephitis",19,1.51,1028729.17501087,55504.2897374145,54068.881279852,2399.99,0.982160135005475
"146","Mesophylla macconnelli",20,6,12,7.415,0.400741089798178,6.86,1.38493409867081
