"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"31","Balantiopteryx plicata",36,4,42,6.52916666666667,1.01929086577268,6.57,0.0400605310068972
"32","Batomys salomonseni",10,135,277,188,13.5720300618588,185.76,0.165045316713159
"33","Blarina brevicauda",282,5,1905,27.5001418439716,6.8585473461426,18.56,1.30350370024051
"34","Blarina carolinensis",69,4.5,18.9,8.40304347826087,0.26697200956986,11.91,13.1360457127677
"35","Blarina hylophaga",134,6,22,13.8074626865672,0.232430249686265,14.49,2.93652532040956
"36","Callorhinus ursinus",13,7257.5,233600,43868.2792307692,16122.2453150963,55464.82,0.719288197306626
"37","Calomys boliviae",13,20,54,38.6923076923077,3.02634715793076,27,3.86350510438539
"38","Calomys callosus",99,9,68,29.7878787878788,1.05972664309505,44.95,14.30757762949
"39","Calomys musculinus",13,8,32,16.4615384615385,2.15315923111975,20.2,1.73626803091444
"40","Canis latrans",171,2,23671.85,9570.68368421053,305.158104243076,11989.1,7.92512563868553
"41","Canis lupus",357,26.4,64410.12,35031.3306722689,508.655043479755,31756.51,6.43819561851892
"42","Carollia brevicauda",67,4,43,14.1492537313433,0.659318526013137,14.85,1.062834185616
"43","Carollia castanea",21,7.6,15,11.1047619047619,0.421983761280669,13.1,4.72823430262528
"44","Carollia subrufa",11,10,16.2,12.7181818181818,0.648048564652959,15.84,4.81725961925395
"45","Castor canadensis",31,10.8,23586.8,8185.11451612903,1481.01534107734,18124.41,6.7111360754986
"46","Catagonus wagneri",18,2,38000,2889.05555555556,2196.27539059238,35566.4,14.8785277950188
"47","Centurio senex",12,5,26,11.4583333333333,2.29255905489957,23.09,5.07366065088177
"48","Chaetodipus formosus",15,14,143,25.7666666666667,8.4009447692431,20.02,0.684050047288244
"49","Chaetodipus penicillatus",13,13,31,22.6769230769231,1.72846285075207,15.57,4.1117013731772
"50","Chalinolobus gouldii",13,36.9,44.3,40.6769230769231,0.751507360981559,14.24,35.1785284476698
"51","Chiroderma salvini",20,13.6,40.4,28.62,1.59996052582885,26.3,1.45003577435021
"52","Chiroderma villosum",24,3,29,19.2791666666667,1.59994315078655,23.81,2.83187145187373
"53","Chrysochloris asiatica",12,23,66,34.8666666666667,3.35833051357127,37.16,0.682878985277297
"54","Condylura cristata",21,28.4,71.3,48.5238095238095,2.18844263784508,48.15,0.170810747947047
"55","Corynorhinus townsendii",56,6.3,41,13.8696428571429,0.633199049779711,10.3,5.63747349018405
"56","Cratogeomys castanops",13,97,362,213.507692307692,19.2346857550279,266.83,2.77219541672883
"57","Crocidura beatus",53,5,13,9.54905660377358,0.258980537925181,10.55,3.86493674098239
"58","Crocidura grayi",41,5.9,12,8.11585365853658,0.229928667520019,10.7,11.238904523458
"59","Crocidura negrina",12,11,15.5,13.3333333333333,0.390867979985286,11.33,5.12534522118888
"60","Cryptotis nigrescens",83,2.5,9,5.86686746987952,0.121005913173472,8.32,20.2728318458597
"61","Cryptotis parva",61,2.7,28,5.03770491803279,0.406480118915264,4.97,0.166563910218944
"62","Ctenomys opimus",11,2,470,275.181818181818,34.2522243954033,327.05,1.5143011215687
